"time","T_S","V_l","p_S","qm_S"
3024,288.333161217765,66.37066480856593,72.64619885990018,144.29239771980036
3034.8,288.5982208241197,66.3704942560092,72.92865137581285,144.8573027516257
3045.6,288.86259000328107,66.37032829061529,73.21120249244831,145.42240498489662
3056.4,289.12627722910804,66.37016493558754,73.49385651284655,145.9877130256931
3067.2,289.38929001682175,66.37000500204913,73.77661680745341,146.55323361490682
3078,289.65163675967676,66.36984757000374,74.05948778225677,147.11897556451353
3088.8,289.9133199570434,66.36969146024852,74.34246755893928,147.68493511787855
3099.6,290.1743486819288,66.36953527335048,74.62556142313544,148.25112284627087
3110.4,290.4347299038951,66.36937736255346,74.90877247639648,148.81754495279296
3121.2,290.69446871089247,66.36921677640612,75.1921018454404,149.3842036908808
3132,290.95356641314265,66.36905432033899,75.47554657531207,149.95109315062413
3142.8,291.21202954644343,66.36888775572359,75.75910946183718,150.51821892367437
3153.6,291.4698621777161,66.36871589931499,76.04279065585574,151.08558131171148
3164.4,291.7270680204059,66.36854189396877,76.32658996192849,151.65317992385698
3175.2,291.98365156193336,66.36836637794278,76.61050808215239,152.22101616430479
3186,292.23961711741515,66.36818797585697,76.89454557682957,152.78909115365914
3196.8,292.4949689697114,66.36800662326564,77.17870301785713,153.35740603571426
3207.6,292.7497151326289,66.36782155043606,77.46298519371007,153.92597038742014
3218.4,293.00385859824723,66.36763291321273,77.74739135927447,154.49478271854895
3229.2,293.25740401607925,66.36744055069354,78.03192266311453,155.06384532622906
3240,293.5103559885358,66.36724436475784,78.31658025260207,155.63316050520413
3250.8,293.76271907149066,66.36704432258776,78.60136527386854,156.20273054773708
3261.6,294.01449777869504,66.36684022983891,78.88627887611331,156.77255775222662
3272.4,294.26569657853565,66.36663195686012,79.1713222073071,157.3426444146142
3283.2,294.5163190179943,66.36641994133988,79.45649541532737,157.91299083065473
3294,294.7663692689422,66.36620419420785,79.74179940033234,158.48359880066468
3304.8,295.0158516863977,66.36598458117481,80.02723531846848,159.05447063693697
3315.6,295.26477037577513,66.36576110310712,80.31280408763335,159.6256081752667
3326.4,295.51312940305377,66.36553376087103,80.59850662572445,160.1970132514489
3337.2,295.7609327952856,66.36530255533292,80.8843438506393,160.7686877012786
3348,296.0081845410747,66.36506748735908,81.1703166802754,161.3406333605508
3358.8,296.25488859059544,66.36482881302595,81.45642603199715,161.9128520639943
3369.6,296.5010488565207,66.3645867911374,81.74267282316328,162.48534564632655
3380.4,296.74666921535584,66.36434120545537,82.02905797212478,163.05811594424955
3391.2,296.99175350654957,66.36409209619734,82.31558239669697,163.63116479339394
3402,297.23630553342707,66.36383950358082,82.60224701469521,164.20449402939042
3412.8,297.48032906361254,66.36358346782328,82.88905274393477,164.77810548786954
3423.6,297.72382782947795,66.36332402914219,83.17600050223096,165.35200100446193
3434.4,297.9668055458941,66.36306136418172,83.46309122792294,165.9261824558459
3445.2,298.2092659909016,66.36279642048764,83.75032597532311,166.50065195064622
3456,298.4512127160532,66.36252863342575,84.03770557125382,167.07541114250765
3466.8,298.69264932297324,66.36225809520715,84.32523094135222,167.65046188270443
3477.6,298.93357938000463,66.36198489804292,84.61290301125544,168.22580602251088
3488.4,299.17400642261373,66.3617091341441,84.90072270660066,168.80144541320132
3499.2,299.4139339537704,66.36143089572181,85.188690953025,169.37738190605
3510,299.6533654443109,66.36115027498711,85.47680867616569,169.95361735233138
3520.8,299.8923058493257,66.36086719664685,85.76507863299591,170.53015726599182
3531.6,300.13075797412546,66.3605818183497,86.05350103371892,171.10700206743783
3542.4,300.368725047516,66.36029424794974,86.34207663294555,171.6841532658911
3553.2,300.6062104945289,66.3600045682062,86.63080645965105,172.2616129193021
3564,300.8432177090632,66.35971286187822,86.91969154281077,172.83938308562153
3574.8,301.0797500542345,66.35941921172505,87.20873291139995,173.4174658227999
3585.6,301.31581086272774,66.35912370050586,87.49793159439386,173.99586318878772
3596.4,301.55140432781457,66.35882582835919,87.7872897160932,174.5745794321864
3600.00000036011,301.6298323429081,66.35872593500706,87.88377821513627,174.76755643027255
3600.00000036011,301.6298323429081,66.35872593500706,87.88377821513627,174.76755643027255
3607.2,301.7798514835214,66.35750674447645,88.06857027901596,175.13714055803192
3618,301.980255640819,66.35284051702568,88.31589046239968,175.63178092479936
3628.8,302.1526879253337,66.34638295234205,88.52911604974507,176.05823209949014
3639.6,302.2990451318776,66.33971251241206,88.71040718895877,176.42081437791754
3650.4,302.42143653920255,66.33426013639887,88.86223049188628,176.72446098377256
3661.2,302.5220570106129,66.33112885540459,88.98719662864272,176.97439325728544
3672,302.60311915178966,66.33111079336757,89.08797013029086,177.1759402605817
3682.8,302.6668289560022,66.33476189941385,89.16723321386044,177.33446642772088
3693.6,302.7153580456114,66.34243462247821,89.22764582492977,177.45529164985953
3704.4,302.75081932268824,66.3542817634694,89.27181049049645,177.5436209809929
3715.2,302.77525083873036,66.37027975195723,89.30224806978414,177.60449613956828
3726,302.79056436009853,66.3902610656709,89.32133020966039,177.64266041932078
3736.8,302.79854791674063,66.4139360647071,89.33127973873356,177.6625594774671
3747.6,302.80083957180966,66.4409232929485,89.334135877003,177.668271754006
3758.4,302.79892250444334,66.4707706469435,89.33174659053876,177.6634931810775
3769.2,302.79411796003194,66.50297673536208,89.32575878828038,177.65151757656076
3780,302.7875820348057,66.53701142868321,89.3176136966512,177.6352273933024
3790.8,302.7803073759974,66.57233461612877,89.30854866233024,177.61709732466048
3801.6,302.77312772540904,66.60841628670207,89.2996027103929,177.5992054207858
3812.4,302.766723266804,66.64474136168909,89.29162323896996,177.58324647793992
3823.2,302.76163142957296,66.68082715346539,89.2852795846319,177.5705591692638
3834,302.7582556588152,66.7162265656496,89.28107407843402,177.56214815686803
3844.8,302.7568771783674,66.7505359754189,89.27935682300522,177.55871364601043
3855.6,302.757667263185,66.7834025258708,89.28034107575583,177.56068215151166
3866.4,302.7606981041846,66.81452531549193,89.28411684069509,177.56823368139018
3877.2,302.76595795354103,66.84365956112619,89.2906697530418,177.5813395060836
3888,302.7733623576536,66.87061446169274,89.29989505481555,177.5997901096311
3898.8,302.78276841416175,66.89525286330249,89.31161531077397,177.62323062154795
3909.6,302.7939856308891,66.91748778046231,89.3255938736159,177.6511877472318
3920.4,302.8067874479326,66.93727922576322,89.34154916768088,177.68309833536176
3931.2,302.8209228875727,66.95463207508581,89.35916913412696,177.71833826825392
3942,302.8361274469597,66.96959326019703,89.37812474275569,177.75624948551138
3952.8,302.8521318682457,66.98224525673038,89.3980808736413,177.7961617472826
3963.6,302.8686662752641,66.99269658138059,89.41870143825615,177.8374028765123
3974.4,302.885475253432,67.00108510089713,89.43966816648738,177.87933633297476
3985.2,302.90230502146665,67.00755893124357,89.46066460282192,177.92132920564384
3996,302.9189314875533,67.01228465184566,89.48141111470748,177.96282222941497
4006.8,302.93513032080443,67.0154389002852,89.50162757345133,178.00325514690266
4017.6,302.95071493277896,67.01719990243645,89.52108077700493,178.04216155400985
4028.4,302.9655237990884,67.0177574964498,89.53956867380845,178.0791373476169
4039.2,302.97942750841446,67.0172942279697,89.55692920578949,178.11385841157897
4050,302.99232060235636,67.01599489930459,89.57303016316088,178.14606032632176
4060.8,303.0041395686975,67.01403564262678,89.5877916944487,178.1755833888974
4071.6,303.0148247404693,67.01157856738692,89.60113875587835,178.2022775117567
4082.4,303.0243519886966,67.00877237241396,89.61304071752754,178.22608143505508
4093.2,303.03271648160876,67.005751686403,89.6234911006031,178.2469822012062
4104,303.03993226757495,67.0026306493592,89.63250706933957,178.26501413867913
4114.8,303.04603090871353,66.9995117661486,89.64012773195937,178.28025546391873
4125.6,303.0510584342012,66.99648428602424,89.6464103370211,178.2928206740422
4136.4,303.05507511174767,66.99362161568074,89.65142998702886,178.30285997405772
4147.2,303.05815279902515,66.99099327672558,89.65527632483034,178.31055264966068
4158,303.0603725969635,66.98865040092316,89.65805059448586,178.31610118897171
4168.8,303.0618231757238,66.9866317552451,89.65986354128913,178.31972708257825
4179.6,303.06259779232175,66.98496470251672,89.6608316758152,178.3216633516304
4190.4,303.062788546407,66.98365260590357,89.66107008610503,178.32214017221006
4201.2,303.0624884977875,66.98269008291459,89.66069507638237,178.32139015276474
4212,303.0617820678557,66.98206311385668,89.65981216390536,178.31962432781071
4222.8,303.06074856546513,66.98174080090918,89.65852048071031,178.31704096142062
4233.6,303.0594638915858,66.98170986150414,89.65691490038719,178.31382980077439
4244.4,303.05799009041436,66.98194292222115,89.65507297667507,178.31014595335014
4255.2,303.0564027627079,66.9824207190492,89.65308920249146,178.30617840498292
4266,303.05476203952037,66.98313158841702,89.65103873229556,178.30207746459112
4276.8,303.0531216784997,66.98403078106068,89.64898875065134,178.29797750130268
4287.6,303.05153374300187,66.98509010390104,89.64700432014278,178.29400864028557
4298.4,303.0500374098127,66.98627337671078,89.6451343951378,178.2902687902756
4309.2,303.04866699943045,66.98754046280938,89.6434218585177,178.2868437170354
4320,303.04744479613225,66.98885677790089,89.64189455039646,178.28378910079292
4330.8,303.04638330997216,66.99018714104632,89.64056809623573,178.28113619247145
